,주소
1,강남본점 06241 서울특별시 강남구 강남대로 372 (역삼동)
2,강릉입암점 25582 강원도 강릉시 용지로 23 (입암동)
3,강북구청사거리점 01054 서울특별시 강북구 한천로 1038 (수유동)
4,개봉남부점 08328 서울특별시 구로구 남부순환로97길 3 (개봉동)
5,거제옥포2호점 53229 경상남도 거제시 옥포대첩로 42 (옥포동)
6,경기광주본점 12758 경기도 광주시 광주대로 17 (역동)
7,경인2센터 04351 서울특별시 용산구 이태원로15길 1 (이태원동)
8,광명하안점 14303 경기도 광명시 오리로 665 (하안동)
9,광주센터 61062 광주광역시 북구 설죽로 333 (매곡동)
10,광주수완2호점 62224 광주광역시 광산구 장신로 39 (장덕동)
11,교대역점 06633 서울특별시 서초구 서초대로 320 (서초동)
12,구리역점 11922 경기도 구리시 경춘로 249 (인창동)
13,구미봉곡본점 39214 경상북도 구미시 야은로 288 (봉곡동)
14,김포풍무로점 10110 경기도 김포시 풍무로 227 (사우동)
15,김해율하2호점 51018 경상남도 김해시 율하3로 26 (율하동)
16,김해진영본점 50861 경상남도 김해시 진영읍 진산대로 65
17,남양주화도점 12178 경기도 남양주시 화도읍 경춘로 1718
18,노원문화의거리점 01695 서울특별시 노원구 노해로79길 6-19 (상계동)
19,대구두산오거리점 42187 대구광역시 수성구 무학로 142 (두산동)
20,대구죽전네거리점 42633 대구광역시 달서구 달구벌대로 1541-1 (죽전동)
21,대구테크노폴리스점 43020 대구광역시 달성군 현풍읍 테크노대로 32
22,대전도마2호점 334 대전광역시 서구 제비네1길 4 (도마동)
23,대전센터 34873 대전광역시 중구 동서대로 1307 (오류동)
24,대학로점 03084 서울특별시 종로구 대학로 138-2 (혜화동)
25,동두천지행점 11346 경기도 동두천시 지행로 67 (지행동)
26,마산합성점 51362 경상남도 창원시 마산회원구 3·15대로 730 (합성동)
27,매봉역점 06297 서울특별시 강남구 남부순환로 2748 (도곡동)
28,목포옥암점 58676 전라남도 목포시 후광대로 128 (옥암동)
29,발산역점 07646 서울특별시 강서구 공항대로 280 (내발산동)
30,"보라매점 07071 서울특별시 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)"
31,부산기장본점 46066 부산광역시 기장군 기장읍 차성동로 63
32,부산남포점 48953 부산광역시 중구 구덕로 46 (남포동4가)
33,부산명지국제신도시점 46726 부산광역시 강서구 명지국제8로 237 (명지동)
34,부산센텀시티점 48059 부산광역시 해운대구 센텀5로 55 (우동)
35,부산연산토곡2호점 47558 부산광역시 연제구 과정로 157 (연산동)
36,부산용호점 48579 부산광역시 남구 용호로 133 (용호동)
37,"부산주례점 46993 부산광역시 사상구 백양대로 526 (주례동, 경동리인)"
38,부산화명2호점 46538 부산광역시 북구 금곡대로 208 (화명동)
39,부천범박동점 14784 경기도 부천시 양지로 125 (옥길동)
40,부천중동본점 14539 경기도 부천시 길주로 267 (중동)
41,분당서현점 13591 경기도 성남시 분당구 분당로53번길 11 (서현동)
42,상왕십리역점 04710 서울특별시 성동구 왕십리로 373 (하왕십리동)
43,서울1센터 05542 서울특별시 송파구 오금로 87 (방이동)
44,서울2센터 02164 서울특별시 중랑구 망우로 416 (망우동)
45,세종본점 30101 세종특별자치시 세종로 1219
46,속초본점 24872 강원도 속초시 동해대로 4038 (조양동)
47,수원고색점 16641 경기도 수원시 권선구 매송고색로 642 (고색동)
48,수원인계본점 16488 경기도 수원시 팔달구 권광로 202 (인계동)
49,수원정자점 16334 경기도 수원시 장안구 대평로 80 (정자동)
50,시흥능곡점 14995 경기도 시흥시 승지로60번길 23 (능곡동)
51,신림점 08846 서울특별시 관악구 호암로 605 (신림동)
52,아차산역2호점 04954 서울특별시 광진구 천호대로 661 (구의동)
53,안산중앙점 15360 경기도 안산시 단원구 중앙대로 899 (고잔동)
54,안성옥산점 17576 경기도 안성시 중앙로 180 (옥산동)
55,양산증산점 50653 경상남도 양산시 물금읍 청운로 178
56,양주덕정점 11450 경기도 양주시 화합로 1449 (덕정동)
57,여의도점 07327 서울특별시 영등포구 여의나루로 61 (여의도동)
58,염창역점 07558 서울특별시 강서구 공항대로 627 (염창동)
59,영천점 38896 경상북도 영천시 천문로 148 (금노동)
60,영통판타지움점 16693 경기도 수원시 영통구 덕영대로 1566 (영통동)
61,용인민속촌점 17074 경기도 용인시 기흥구 용구대로 1910 (보라동)
62,용인역북점 17054 경기도 용인시 처인구 중부대로 1294(역북동)
63,울산병영점 44492 울산광역시 중구 곽남길 4 (남외동)
64,원주무실점 26391 강원도 원주시 시청로 102 (무실동)
65,응암본점 03461 서울특별시 은평구 은평로 127 (응암동)
66,의정부민락점 11813 경기도 의정부시 용민로182번길 17 (민락동)
67,이천본점 17348 경기도 이천시 이섭대천로 1440-8 (증포동)
68,인천검암점 22696 인천광역시 서구 승학로512번길 1 (검암동)
69,"인천송도1호점 21994 인천광역시 연수구 컨벤시아대로 55 (송도동, 송도이안)"
70,인천신기사거리점 22227 인천광역시 미추홀구 미추홀대로 594 (주안동)
71,일산마두점 10414 경기도 고양시 일산동구 강석로 151 (마두동)
72,장한평역점 02644 서울 동대문구 장한로 10
73,전주에코시티점 55145 전라북도 전주시 덕진구 과학로 65 (송천동2가)
74,제주삼화점 63304 제주특별자치도 제주시 연삼로 844 (화북이동)
75,죽전사거리점 16869 경기도 용인시 수지구 포은대로 541 (죽전동)
76,진주혁신도시점 52851 경상남도 진주시 에나로 69 (충무공동)
77,진해장천점 51627 경상남도 창원시 진해구 충장로 666 (장천동)
78,천안불당2호점 31156 충청남도 천안시 서북구 불당24로 45-9 (불당동)
79,천안청수지구점 31211 충청남도 천안시 동남구 남부대로 322 (청당동)
80,천호본점 05378 서울특별시 강동구 천호대로 1012 (성내동)
81,파주목동동점 10892 경기도 파주시 청암로17번길 17 (목동동)
82,평택소사벌지구점 17854 경기도 평택시 평남로 862 (비전동)
83,포항문덕본점 37888 경상북도 포항시 남구 오천읍 문덕로 3
84,포항양덕본점 37587 경상북도 포항시 북구 천마로 85 (양덕동)
85,하남시청점 12950 경기도 하남시 대청로 9 (신장동)
86,홍대2호점 04051 서울특별시 마포구 양화로 182 (동교동)
